"Club"|"Abbr"
"Sporting Kansas City"|"SKC"
"New York Red Bulls"|"NY"
"Montreal Impact"|"MTL"
"Philadelphia Union"|"PHI"
"Houston Dynamo"|"HOU"
"New England Revolution"|"NE"
"Chicago Fire"|"CHI"
"Columbus Crew"|"CLB"
"Toronto FC"|"TOR"
"D.C. United"|"DC"
"Real Salt Lake"|"RSL"
"Colorado Rapids"|"COL"
"Portland Timbers"|"POR"
"LA Galaxy"|"LA"
"Vancouver Whitecaps"|"VAN"
"Seattle Sounders FC"|"SEA"
"FC Dallas"|"DAL"
"San Jose Earthquakes"|"SJ"
"Chivas USA"|"CHV"
"Kansas City Wizards"|"SKC"
"MetroStars"|"NY"
"Miami Fusion"|"MIA"
"Tampa Bay Mutiny"|"TB"
"Los Angeles Galaxy"|"LA"
"Vancouver Whitecaps FC"|"VAN"
"Dallas Burn"|"DAL"
"San Jose Clash"|"SJ"